Files already downloaded and verified
Files already downloaded and verified
train_dataset =  40000
valid_dataset =  10000
test_dataset =  10000
training start ...
Epoch [111/500], Loss: 0.0016, val_loss: 0.0193, val_acc: 0.5612
Epoch [112/500], Loss: 0.0015, val_loss: 0.0193, val_acc: 0.5680
Epoch [113/500], Loss: 0.0014, val_loss: 0.0196, val_acc: 0.5645
Epoch [114/500], Loss: 0.0015, val_loss: 0.0199, val_acc: 0.5624
Epoch [115/500], Loss: 0.0015, val_loss: 0.0195, val_acc: 0.5623
Epoch [116/500], Loss: 0.0015, val_loss: 0.0193, val_acc: 0.5623
Epoch [117/500], Loss: 0.0015, val_loss: 0.0196, val_acc: 0.5631
Epoch [118/500], Loss: 0.0015, val_loss: 0.0197, val_acc: 0.5592
Epoch [119/500], Loss: 0.0014, val_loss: 0.0199, val_acc: 0.5570
Epoch [120/500], Loss: 0.0014, val_loss: 0.0200, val_acc: 0.5660
Epoch [121/500], Loss: 0.0015, val_loss: 0.0201, val_acc: 0.5523
Epoch [122/500], Loss: 0.0015, val_loss: 0.0200, val_acc: 0.5533
Epoch [123/500], Loss: 0.0015, val_loss: 0.0196, val_acc: 0.5666
Epoch [124/500], Loss: 0.0014, val_loss: 0.0202, val_acc: 0.5602
Epoch [125/500], Loss: 0.0014, val_loss: 0.0194, val_acc: 0.5634
Epoch [126/500], Loss: 0.0014, val_loss: 0.0201, val_acc: 0.5581
Epoch [127/500], Loss: 0.0014, val_loss: 0.0200, val_acc: 0.5530
Epoch [128/500], Loss: 0.0015, val_loss: 0.0196, val_acc: 0.5530
Epoch [129/500], Loss: 0.0015, val_loss: 0.0191, val_acc: 0.5627
Epoch [130/500], Loss: 0.0014, val_loss: 0.0198, val_acc: 0.5624
Epoch [131/500], Loss: 0.0014, val_loss: 0.0195, val_acc: 0.5667
Epoch [132/500], Loss: 0.0015, val_loss: 0.0194, val_acc: 0.5637
Epoch [133/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5604
Epoch [134/500], Loss: 0.0015, val_loss: 0.0197, val_acc: 0.5590
Epoch [135/500], Loss: 0.0014, val_loss: 0.0196, val_acc: 0.5547
Epoch [136/500], Loss: 0.0014, val_loss: 0.0194, val_acc: 0.5626
Epoch [137/500], Loss: 0.0013, val_loss: 0.0197, val_acc: 0.5640
Epoch [138/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5537
Epoch [139/500], Loss: 0.0014, val_loss: 0.0195, val_acc: 0.5594
Epoch [140/500], Loss: 0.0015, val_loss: 0.0196, val_acc: 0.5619
Epoch [141/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5560
Epoch [142/500], Loss: 0.0014, val_loss: 0.0200, val_acc: 0.5570
Epoch [143/500], Loss: 0.0015, val_loss: 0.0199, val_acc: 0.5662
Epoch [144/500], Loss: 0.0014, val_loss: 0.0191, val_acc: 0.5666
Epoch [145/500], Loss: 0.0015, val_loss: 0.0191, val_acc: 0.5612
Epoch [146/500], Loss: 0.0013, val_loss: 0.0203, val_acc: 0.5629
Epoch [147/500], Loss: 0.0014, val_loss: 0.0195, val_acc: 0.5627
Epoch [148/500], Loss: 0.0013, val_loss: 0.0198, val_acc: 0.5652
Epoch [149/500], Loss: 0.0014, val_loss: 0.0195, val_acc: 0.5649
Epoch [150/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5642
Epoch [151/500], Loss: 0.0013, val_loss: 0.0191, val_acc: 0.5697
Epoch [152/500], Loss: 0.0014, val_loss: 0.0196, val_acc: 0.5622
Epoch [153/500], Loss: 0.0014, val_loss: 0.0197, val_acc: 0.5618
Epoch [154/500], Loss: 0.0014, val_loss: 0.0195, val_acc: 0.5648
Epoch [155/500], Loss: 0.0014, val_loss: 0.0193, val_acc: 0.5643
Epoch [156/500], Loss: 0.0014, val_loss: 0.0193, val_acc: 0.5619
Epoch [157/500], Loss: 0.0014, val_loss: 0.0196, val_acc: 0.5609
Epoch [158/500], Loss: 0.0014, val_loss: 0.0191, val_acc: 0.5605
Epoch [159/500], Loss: 0.0013, val_loss: 0.0204, val_acc: 0.5566
Epoch [160/500], Loss: 0.0013, val_loss: 0.0194, val_acc: 0.5600
Epoch [161/500], Loss: 0.0014, val_loss: 0.0194, val_acc: 0.5562
Epoch [162/500], Loss: 0.0013, val_loss: 0.0193, val_acc: 0.5638
